id_date;cod_batle_unique;cod_trainer_a;cod_trainer_b;cod_pok_a;cod_pok_b;result;location
20230121;20230121|15|2|147|372|2;15;2;147;37;1;1
20230126;20230126|13|17|147|1002|3;13;17;147;100;3;3
20230124;20230124|8|3|25|422|4;8;3;25;42;3;1
20230124;20230124|11|2|146|702|5;11;2;146;70;2;3
20230118;20230118|19|7|61|1122|6;19;7;61;112;1;5
20230121;20230121|7|2|102|42|7;7;2;102;4;3;1
20230107;20230107|13|2|5|882|8;13;2;5;88;2;5
20230119;20230119|6|2|104|982|9;6;2;104;98;2;5
20230103;20230103|19|10|35|422|10;19;10;35;42;2;5
20230120;20230120|14|17|30|892|11;14;17;30;89;3;2
20230118;20230118|3|16|65|12|12;3;16;65;1;2;2
20230121;20230121|13|7|141|682|13;13;7;141;68;1;2
20230119;20230119|18|15|98|902|14;18;15;98;90;3;2
20230121;20230121|15|1|92|382|15;15;1;92;38;2;4
20230125;20230125|5|7|67|1392|16;5;7;67;139;1;1
20230101;20230101|12|14|98|882|17;12;14;98;88;3;1
20230121;20230121|3|7|27|322|18;3;7;27;32;2;1
20230115;20230115|14|17|47|1052|19;14;17;47;105;2;2
20230102;20230102|5|13|25|522|20;5;13;25;52;2;4
20230114;20230114|9|3|54|1402|21;9;3;54;140;3;5
20230104;20230104|20|4|108|302|22;20;4;108;30;1;2
20230105;20230105|4|11|37|1012|23;4;11;37;101;2;4
20230105;20230105|1|11|136|412|24;1;11;136;41;1;4
20230107;20230107|18|9|104|352|25;18;9;104;35;2;1
20230125;20230125|9|4|53|1062|26;9;4;53;106;1;2
20230108;20230108|12|17|11|102|27;12;17;11;10;2;5
20230106;20230106|19|7|80|842|28;19;7;80;84;1;1
20230128;20230128|20|11|123|632|29;20;11;123;63;3;3
20230116;20230116|17|18|57|922|30;17;18;57;92;1;5
20230118;20230118|4|11|76|1502|31;4;11;76;150;3;2
20230102;20230102|1|7|100|1252|32;1;7;100;125;3;1
20230130;20230130|11|14|11|1502|33;11;14;11;150;2;2
20230101;20230101|19|9|83|1482|34;19;9;83;148;2;1
20230128;20230128|5|13|9|1292|35;5;13;9;129;1;2
20230128;20230128|1|6|39|912|36;1;6;39;91;2;2
20230110;20230110|17|7|50|212|37;17;7;50;21;1;3
20230110;20230110|3|4|61|42|38;3;4;61;4;1;2
20230109;20230109|9|7|129|1092|39;9;7;129;109;1;2
20230106;20230106|19|16|74|1232|40;19;16;74;123;2;2
20230115;20230115|8|10|132|352|41;8;10;132;35;2;3
20230117;20230117|14|12|122|1442|42;14;12;122;144;2;2
20230101;20230101|18|6|15|172|43;18;6;15;17;1;1
20230103;20230103|19|14|80|1032|44;19;14;80;103;1;2
20230108;20230108|20|6|10|942|45;20;6;10;94;3;2
20230120;20230120|8|4|33|92|46;8;4;33;9;1;3
20230123;20230123|2|18|129|792|47;2;18;129;79;3;2
20230102;20230102|17|1|87|662|48;17;1;87;66;3;4
20230117;20230117|12|7|15|1062|49;12;7;15;106;3;3
20230115;20230115|4|12|86|902|50;4;12;86;90;2;5
20230108;20230108|4|8|64|1402|51;4;8;64;140;2;1
20230104;20230104|12|10|21|1002|52;12;10;21;100;2;2
20230126;20230126|2|4|109|932|53;2;4;109;93;2;5
20230128;20230128|20|19|126|1112|54;20;19;126;111;1;5
20230118;20230118|14|18|57|572|55;14;18;57;57;3;1
20230108;20230108|7|12|117|1222|56;7;12;117;122;2;2
20230130;20230130|15|1|107|1272|57;15;1;107;127;3;5
20230124;20230124|5|10|127|1252|58;5;10;127;125;2;4
20230122;20230122|10|12|130|852|59;10;12;130;85;1;4
20230107;20230107|16|1|143|1052|60;16;1;143;105;3;3
20230114;20230114|6|18|106|1422|61;6;18;106;142;2;3
20230102;20230102|5|19|115|1452|62;5;19;115;145;3;3
20230113;20230113|5|6|102|332|63;5;6;102;33;1;2
20230115;20230115|9|5|46|852|64;9;5;46;85;2;4
20230109;20230109|19|15|105|1222|65;19;15;105;122;3;5
20230109;20230109|20|20|45|392|66;20;20;45;39;1;2
20230113;20230113|16|20|20|1102|67;16;20;20;110;1;5
20230124;20230124|4|6|43|842|68;4;6;43;84;3;3
20230130;20230130|12|1|44|552|69;12;1;44;55;2;4
20230106;20230106|16|4|19|1222|70;16;4;19;122;1;2
20230111;20230111|8|1|64|1192|71;8;1;64;119;1;5
20230103;20230103|8|19|49|352|72;8;19;49;35;2;3
