id_date;cod_batle_unique;cod_trainer_a;cod_trainer_b;cod_pok_a;cod_pok_b;result;location
20230130;20230130|8|13|83|46;8;13;83;46;1;24
20230307;20230307|17|18|5|99;17;18;5;99;1;6
20230129;20230129|13|12|49|68;13;12;49;68;3;13
20230228;20230228|1|14|39|136;1;14;39;136;2;4
20230205;20230205|19|10|75|117;19;10;75;117;2;26
20230109;20230109|14|5|44|106;14;5;44;106;2;28
20230217;20230217|20|1|88|122;20;1;88;122;1;29
20230401;20230401|8|7|112|122;8;7;112;122;1;29
20230114;20230114|11|2|14|82;11;2;14;82;2;11
20230330;20230330|16|1|117|60;16;1;117;60;1;5
20230207;20230207|9|2|93|115;9;2;93;115;2;12
20230211;20230211|7|7|118|9;7;7;118;9;2;22
20230122;20230122|2|10|88|141;2;10;88;141;2;36
20230210;20230210|17|5|81|141;17;5;81;141;2;36
20230401;20230401|6|17|40|70;6;17;40;70;1;4
20230324;20230324|18|12|58|29;18;12;58;29;2;50
20230301;20230301|1|11|68|51;1;11;68;51;2;11
20230109;20230109|9|13|89|129;9;13;89;129;1;12
20230102;20230102|20|10|60|16;20;10;60;16;2;39
20230402;20230402|1|9|89|12;1;9;89;12;2;36
20230409;20230409|13|18|107|97;13;18;107;97;2;50
20230127;20230127|10|13|143|33;10;13;143;33;1;33
20230223;20230223|14|10|128|108;14;10;128;108;3;28
20230202;20230202|3|11|120|110;3;11;120;110;3;6
20230404;20230404|3|3|22|24;3;3;22;24;2;26
20230205;20230205|12|9|48|96;12;9;48;96;1;27
20230118;20230118|15|2|99|30;15;2;99;30;1;1
20230124;20230124|8|20|96|112;8;20;96;112;2;11
20230131;20230131|10|1|47|26;10;1;47;26;1;50
20230204;20230204|16|7|1|63;16;7;1;63;1;35
20230131;20230131|7|19|145|99;7;19;145;99;1;41
20230120;20230120|1|15|41|95;1;15;41;95;1;5
20230128;20230128|13|10|22|30;13;10;22;30;3;15
20230321;20230321|13|19|28|23;13;19;28;23;1;7
20230126;20230126|4|1|81|23;4;1;81;23;1;20
20230106;20230106|10|9|45|30;10;9;45;30;1;29
20230123;20230123|19|10|59|73;19;10;59;73;1;20
20230118;20230118|18|19|70|91;18;19;70;91;1;36
20230209;20230209|19|9|108|6;19;9;108;6;1;21
20230401;20230401|19|9|102|69;19;9;102;69;3;8
20230223;20230223|17|9|144|84;17;9;144;84;2;18
20230115;20230115|4|4|76|85;4;4;76;85;1;12
20230128;20230128|7|8|57|80;7;8;57;80;2;36
20230228;20230228|19|14|81|130;19;14;81;130;2;17
20230219;20230219|9|3|40|136;9;3;40;136;1;21
20230215;20230215|10|6|79|31;10;6;79;31;1;10
20230117;20230117|2|11|140|95;2;11;140;95;1;25
20230311;20230311|3|18|16|11;3;18;16;11;1;39
20230125;20230125|4|14|25|111;4;14;25;111;2;41
20230322;20230322|18|6|125|147;18;6;125;147;1;46
20230321;20230321|16|18|109|12;16;18;109;12;3;33
20230117;20230117|7|6|29|14;7;6;29;14;2;29
20230223;20230223|10|15|110|54;10;15;110;54;2;41
20230201;20230201|2|15|123|36;2;15;123;36;2;42
20230202;20230202|15|10|56|30;15;10;56;30;3;8
20230302;20230302|6|10|97|71;6;10;97;71;2;42
20230320;20230320|6|18|60|105;6;18;60;105;1;9
20230401;20230401|5|4|92|68;5;4;92;68;1;32
20230221;20230221|18|9|79|134;18;9;79;134;1;27
20230202;20230202|12|4|12|18;12;4;12;18;1;31
20230330;20230330|18|11|77|137;18;11;77;137;1;12
20230120;20230120|16|16|79|148;16;16;79;148;2;24
20230220;20230220|2|9|73|44;2;9;73;44;3;32
20230226;20230226|6|17|133|19;6;17;133;19;1;22
20230405;20230405|14|4|28|127;14;4;28;127;1;10
20230331;20230331|3|1|80|83;3;1;80;83;2;26
20230205;20230205|18|19|44|76;18;19;44;76;2;37
20230327;20230327|8|14|28|77;8;14;28;77;1;19
20230317;20230317|5|8|40|23;5;8;40;23;3;1
20230306;20230306|18|4|108|116;18;4;108;116;3;2
20230211;20230211|4|4|95|64;4;4;95;64;2;35
